EC_protein,EC_accession,SE_protein,SE_accession
ABC exporter ATP binding subunit YbhF,b0794,multidrug ABC transporter ATP-binding protein,STM0817
ABC exporter membrane subunit YbhR,b0792,ABC transporter permease,STM0816
ABC exporter membrane subunit YbhS,b0793,ABC transporter permease,STM0816
ABC family protein ModF,b0760,molybdate ABC transporter ATP-binding protein,STM0778
ABC transporter family protein / microcin J25 efflux protein,b2211,multidrug ABC transporter permease/ATP-binding protein,STM0461
ABC transporter family protein MdlA,b0448,multidrug ABC transporter permease/ATP-binding protein,STM0461
ABC transporter family protein MdlB,b0449,multidrug ABC transporter permease/ATP-binding protein,STM0461
ABC transporter family protein YhhJ,b3485,putative ABC superfamily transport protein,STM3585
ABC-type tripartite efflux pump ATP binding/membrane subunit,b0879,macrolide export ATP-binding/permease protein,STM0942
ABC-type tripartite efflux pump membrane fusion protein,b0878,macrolide transporter subunit,STM0941
accessory iron-sulfur cluster assembly protein IscX,b2524,Fe-S assembly protein,STM2537
acetaldehyde dehydrogenase (acetylating) EutE,b2455,acetaldehyde dehydrogenase (acetylating),STM2463
acetate kinase,b2296,acetate kinase,STM2469
acetate/glycolate:cation symporter,b4067,cation/acetate symporter,STM4273
acetate/succinate:H<sup>+</sup> symporter,b0010,putative regulatory protein,STM0009
acetohydroxy acid synthase I subunit IlvB,b3671,acetolactate synthase I large subunit,STM3796
acetohydroxy acid synthase I subunit IlvN,b3670,acetolactate synthase I small subunit,STM3795
"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",b0077,"valine sensitive acetolactate synthase III, large subunit",STM0116
"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",b0078,acetolactate synthase isozyme 3 small subunit,STM0117
acetolactate synthase II subunit IlvM,b3769,"acetolactate synthase II, small subunit",STM3902
acetyl-CoA carboxyltransferase subunit &alpha;,b0185,acetyl-CoA carboxylase carboxyl transferase subunit alpha,STM0232
acetyl-CoA carboxyltransferase subunit &beta;,b2316,putative aspartate-semialdehyde dehydrogenase,STM2369
acetyl-CoA synthetase (AMP-forming),b4069,acetate--CoA ligase,STM4275
acetylesterase,b0476,acetylesterase,STM0490
acetylglutamate kinase,b3959,acetylglutamate kinase,STM4122
acetylornithine deacetylase,b3957,acetylornithine deacetylase,STM4120
acid phosphatase / phosphotransferase,b4055,acid phosphatase/phosphotransferase,STM4249
acid stress protein IbaG,b3190,putative BolA family transcriptional regulator,STM3308
acid stress response protein YqgB,b2939,virulence-promoting factor,STM3087
acid-inducible putative outer membrane protein YdiY,b1722,putative salt-induced outer membrane protein,STM1327
acidic protein MsyB,b1051,secY/secA suppressor protein,STM1153
AcnB,b0118,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,STM0158
aconitate hydratase 1,b1276,aconitate hydratase 1,STM1712
acrylyl-CoA reductase,b3253,putative oxidoreductase,STM1462
acyl carrier protein,b1094,a soluble <i>apo</i>-[acyl-carrier protein],
acyl carrier protein phosphodiesterase,b0404,ACP phosphodiesterase,STM0403
acyl-CoA dehydrogenase,b0221,putative acyl-CoA dehydrogenase,STM1356
acyl-CoA thioesterase II,b0452,acyl-CoA thioesterase II,STM0464
acyl-CoA thioesterase YciA,b1253,acyl-CoA thioester hydrolase,STM1736
acyl-CoA thioesterase YigI,b3820,putative PaaI protein,STM3956
acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase,b0181,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,STM0228
acylphosphatase,b0968,acylphosphatase,STM1083
adenine DNA glycosylase,b2961,A/G-specific adenine glycosylase,STM3110
adenine phosphoribosyltransferase,b0469,adenine phosphoribosyltransferase,STM0483
adenine:H<sup>+</sup> symporter,b3714,putative xanthine/uracil permeases family,STM3851
adenosine deaminase,b1623,adenosine deaminase,STM1463
adenosylmethionine-8-amino-7-oxononanoate aminotransferase,b0774,adenosylmethionine--8-amino-7-oxononanoate transaminase,STM0793
adenylate cyclase,b3806,adenylate cyclase,STM3939
adenylate kinase,b0474,adenylate kinase,STM0488
adenylosuccinate lyase,b1131,adenylosuccinate lyase,STM1232
adenylosuccinate synthetase,b4177,adenylosuccinate synthase,STM4366
adenylyl-sulfate kinase,b2750,adenylyl-sulfate kinase,STM2933
ADP-heptose&mdash;LPS heptosyltransferase 2,b3620,lipopolysaccharide heptosyltransferase II,STM3711
ADP-heptose:LPS heptosyltransferase 1,b3621,lipopolysaccharide heptosyltransferase 1,STM3712
ADP-L-glycero-D-mannoheptose 6-epimerase,b3619,ADP-glyceromanno-heptose 6-epimerase,STM3710
ADP-sugar diphosphatase NudE,b3397,putative NTP pyrophosphohydrolase,STM3494
ADP-sugar pyrophosphatase,b3034,ADP-ribose diphosphatase,STM3185
aerobic C4-dicarboxylate transporter DauA,b1206,putative SulP family transport protein,STM1781
aerobic glycerol 3-phosphate dehydrogenase,b3426,glycerol-3-phosphate dehydrogenase,STM3700
aerotaxis receptor,b3072,Aerotaxis sensor receptor,STM3217
agmatinase,b2937,agmatinase,STM3078
AhpD-like domain-containing protein YnjA,b1753,,
AlaE,b2670,L-alanine exporter,STM2800
alanine racemase 1,b4053,alanine racemase,STM1802
alanine racemase 2,b1190,alanine racemase,STM1802
alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,b2697,alanine--tRNA ligase,STM2827
aldehyde dehydrogenase,b1746,aldehyde dehydrogenase,STM3680
aldehyde dehydrogenase B,b3588,aldehyde dehydrogenase,STM3680
aldose sugar dehydrogenase YliI,b0837,putative dehydrogenase,STM2753
alkaline phosphatase isozyme conversion protein,b2753,aminopeptidase,STM2936
"alkyl hydroperoxide reductase, AhpC component",b0605,lipid hydroperoxide peroxidase,STM1682
"alkyl hydroperoxide reductase, AhpF component",b0606,alkyl hydroperoxide reductase AhpF component,STM0609
allantoate amidohydrolase,b0516,allantoate amidohydrolase,STM0527
allantoin transporter,b0511,"putative NCS1 family, allantoin transport protein",STM0522
allantoinase,b0512,allantoinase,STM0523
alternative ribosome-rescue factor A,b4550,alternative ribosome-rescue factor A,STM3411
amidase activator,b2865,,
amidophosphoribosyltransferase,b2312,phosphoribosylaminoimidazolesuccinocarboxamide synthase,STM2487
amino acid exporter YddG,b1473,putative permease,STM4513
amino acid racemase YgeA,b2840,aspartate/glutamate racemase,STM3015
aminoalkylphosphonate <i>N</i>-acetyltransferase,b4093,aminoalkylphosphonate N-acetyltransferase,STM4287
aminodeoxychorismate lyase,b1096,aminodeoxychorismate lyase,STM1198
aminodeoxychorismate synthase subunit 1,b1812,"p-aminobenzoate synthetase, component I",STM1824
aminodeoxychorismate synthase subunit 2,b3360,aminodeoxychorismate synthase component II,STM3469
aminomethyltransferase,b2905,aminomethyltransferase,STM3055
aminopeptidase A/I,b4260,leucyl aminopeptidase,STM4477
aminopeptidase B,b2523,aminopeptidase,STM2936
aminopeptidase N,b0932,aminopeptidase N,STM1057
ammonium transporter,b0451,ammonium transporter,STM0463
AMP nucleosidase,b1982,AMP nucleosidase,STM2009
anaerobic C4-dicarboxylate transporter DcuB,b4123,anaerobic C4-dicarboxylate transporter,STM4301
anaerobic C4-dicarboxylate transporter DcuC,b0621,anaerobic C4-dicarboxylate transporter,STM4301
anaerobic glycerol-3-phosphate dehydrogenase subunit A,b2241,sn-glycerol-3-phosphate dehydrogenase subunit A,STM2284
anaerobic glycerol-3-phosphate dehydrogenase subunit B,b2242,anaerobic glycerol-3-phosphate dehydrogenase subunit B,STM2285
anaerobic glycerol-3-phosphate dehydrogenase subunit C,b2243,sn-glycerol-3-phosphate dehydrogenase subunit C,STM2286
anaerobic nitric oxide reductase flavorubredoxin,b2710,nitric oxide reductase,STM2840
anaerobic ribonucleoside-triphosphate reductase,b4238,anaerobic ribonucleoside-triphosphate reductase,STM4452
anaerobic ribonucleoside-triphosphate reductase activating protein,b4237,anaerobic ribonucleotide reductase-activating protein,STM4451
anaerobic ubiquinone biosynthesis accessory factor UbiT,b3157,putative lipid carrier protein,STM3273
ancillary SecYEG translocon subunit,b2513,putative inner membrane protein,STM1849
anhydro-<i>N</i>-acetylmuramic acid kinase,b1640,anhydro-N-acetylmuramic acid kinase,STM1446
anthranilate synthase subunit TrpD,b1263,anthranilate synthase component 2,STM1724
anthranilate synthase subunit TrpE,b1264,anthranilate synthase component 1,STM1723
anti-adaptor protein IraD,b4326,,
anti-adaptor protein IraM,b1160,,
anti-adaptor protein IraP,b0382,putative cytoplasmic protein,STM0383
anti-FlhDC factor RflP,b1707,EAL domain-containing protein,STM1344
anti-sigma factor for FliA (&sigma;<sup>28</sup>),b1071,anti-sigma-28 factor,STM1172
anti-sigma factor stabilizing protein RseB,b2571,sigma-E factor regulatory protein,STM2638
anti-sigma-E factor RseA,b2572,anti-sigma factor,STM2639
antitoxin/DNA-binding transcriptional repressor DinJ,b0226,antitoxin,STM3517
antitoxin/DNA-binding transcriptional repressor HigA,b3082,,
apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,b0614,2-(5'-triphosphoribosyl)-3'-dephospho CoA synthase,STM0620
apo-serine activating enzyme,b0586,apo-serine activating enzyme,
apolipoprotein <i>N</i>-acyltransferase,b0657,apolipoprotein N-acyltransferase,STM0666
arabinose:H<sup>+</sup> symporter,b2841,arabinose:proton symporter,STM3016
AraC,b0064,DNA-binding transcriptional regulator,STM1842
arginine N-succinyltransferase,b1747,arginine N-succinyltransferase,STM1304
"arginine decarboxylase, degradative",b4117,arginine decarboxylase,STM3086
arginine&mdash;tRNA ligase,b1876,arginine--tRNA ligase,STM1909
arginine:agmatine antiporter,b4115,arginine:agmatine antiporter,STM4294
argininosuccinate lyase,b3960,argininosuccinate lyase,STM4123
argininosuccinate synthetase,b3172,argininosuccinate synthetase,STM3290
aromatic amino acid:H<sup>+</sup> symporter AroP,b0112,APC family aromatic amino acid transporter,STM0150
aromatic carboxylic acid efflux pump membrane fusion protein,b3241,p-hydroxybenzoic acid efflux pump subunit,STM3364
aromatic carboxylic acid efflux pump subunit AaeB,b3240,p-hydroxybenzoic acid efflux pump subunit,STM3364
arylamine <i>N</i>-acetyltransferase,b1463,N-hydroxyarylamine O-acetyltransferase,STM1582
AsmA family protein YhjG,b3524,putative inner membrane protein,STM1849
AsmA family protein YicH,b3655,putative inner membrane protein,STM1849
asparagine synthetase A,b3744,aspartate--ammonia ligase,STM3877
asparagine synthetase B,b0674,asparagine synthetase B,STM0680
asparagine&mdash;tRNA ligase,b0930,asparagine--tRNA ligase,STM1000
aspartate 1-decarboxylase proenzyme,b0131,aspartate 1-decarboxylase proenzyme,STM0180
aspartate aminotransferase,b0928,aromatic amino acid aminotransferase,STM0998
aspartate ammonia-lyase,b4139,aspartase,STM4326
aspartate carbamoyltransferase catalytic subunit,b4245,aspartate carbamoyltransferase catalytic subunit,STM4460
"aspartate carbamoyltransferase, PyrI subunit",b4244,aspartate carbamoyltransferase regulatory subunit,STM4459
aspartate kinase III,b4024,lysine-sensitive aspartokinase III,STM4220
aspartate&mdash;tRNA ligase,b1866,aspartate--tRNA ligase,STM1901
aspartate-semialdehyde dehydrogenase,b3433,aspartate-semialdehyde dehydrogenase,STM3539
ATP phosphoribosyltransferase,b2019,ATP phosphoribosyltransferase,STM2071
ATP synthase accessory factor AtpI,b3739,ATP F0F1 synthase subunit I,STM3872
ATP synthase F<sub>1</sub> complex subunit &alpha;,b3734,F0F1 ATP synthase subunit alpha,STM3867
ATP synthase F<sub>1</sub> complex subunit &beta;,b3732,F0F1 ATP synthase subunit beta,STM3865
ATP synthase F<sub>1</sub> complex subunit &delta;,b3735,F0F1 ATP synthase subunit delta,STM3868
ATP synthase F<sub>1</sub> complex subunit &epsilon;,b3731,F0F1 ATP synthase subunit epsilon,STM3864
ATP synthase F<sub>1</sub> complex subunit &gamma;,b3733,F0F1 ATP synthase subunit gamma,STM3866
ATP synthase F<sub>o</sub> complex subunit a,b3738,F0F1 ATP synthase subunit a,STM3871
ATP synthase F<sub>o</sub> complex subunit b,b3736,F0F1 ATP synthase subunit b,STM3869
ATP synthase F<sub>o</sub> complex subunit c,b3737,F0F1 ATP synthase subunit c,STM3870
ATP-binding lipopolysaccharide transport protein,b0914,ATP-dependent Lipid A-core flippase,STM0984
ATP-binding protein PhoH,b1020,phosphate starvation protein,STM1126
ATP-binding protein Uup,b0949,ABC transporter ATP-binding protein,STM2163
ATP-dependent 3'&rarr;5' RNA helicase HrpA,b1413,ATP-dependent RNA helicase,STM1655
ATP-dependent Clp protease ATP-binding subunit ClpA,b0882,ATP-dependent Clp protease ATP-binding subunit,STM0945
ATP-dependent Clp protease ATP-binding subunit ClpX,b0438,ATP-dependent protease ATP-binding subunit,STM0449
ATP-dependent Clp protease proteolytic subunit,b0437,"ATP-dependent Clp endopeptidase, proteolytic subunit",STM0448
ATP-dependent DNA helicase DinG,b0799,ATP-dependent DNA helicase,STM3958
ATP-dependent DNA helicase RecG,b3652,hypothetical protein,STM0387
ATP-dependent DNA helicase RecQ,b3822,ATP-dependent DNA helicase,STM3958
ATP-dependent DNA helicase Rep,b3778,ATP-dependent DNA helicase,STM3958
ATP-dependent DNA helicase YoaA,b1808,ATP-dependent helicase,STM1821
ATP-dependent RNA helicase DbpA,b1343,ATP-dependent RNA helicase,STM1655
ATP-dependent RNA helicase DeaD,b3162,cysteine sulfinate desulfinase,STM2984
ATP-dependent RNA helicase RhlB,b3780,ATP-dependent RNA helicase,STM1655
ATP-dependent RNA helicase RhlE,b0797,ATP-dependent RNA helicase,STM1655
ATP-dependent RNA helicase SrmB,b2576,ATP-dependent RNA helicase,STM1655
ATP-dependent structure-specific DNA nuclease - SbcC subunit,b0397,exonuclease subunit,STM0396
ATP-dependent structure-specific DNA nuclease - SbcD subunit,b0398,exonuclease subunit,STM0396
ATP-dependent zinc metalloprotease FtsH,b3178,ATP-dependent metalloprotease,STM3296
ATP-independent periplasmic chaperone,b1743,ATP-independent periplasmic protein-refolding chaperone,STM1308
ATPase component of the HslVU protease,b3931,HslU--HslV peptidase ATPase subunit,STM4091
autoinducer 2 exporter,b1601,,
Autoinducer-2 ABC transporter ATP binding subunit,b1513,autoinducer 2 import ATP-binding protein,STM4074
Autoinducer-2 ABC transporter membrane subunit LsrC,b1514,autoinducer 2 ABC transporter permease,STM4075
Autoinducer-2 ABC transporter membrane subunit LsrD,b1515,putative sugar transport protein,STM1132
Autoinducer-2 ABC transporter periplasmic binding protein,b1516,autoinducer 2-binding protein,STM4077
autoinducer-2 kinase,b1511,autoinducer-2 kinase,STM4072
bacterioferritin,b3336,bacterioferritin,STM3443
bacterioferritin-associated ferredoxin,b3337,bacterioferritin-associated ferredoxin,STM3444
bacteriolytic entericidin B lipoprotein,b4411,putative entericidin B precursor,STM4336
Bax1-I family protein YbhL,b0786,putative permease,STM4513
Bax1-I family protein YbhM,b0787,putative integral membrane protein,STM2339
betaine aldehyde dehydrogenase,b0312,,
bicupin-related protein,b3106,putative cytoplasmic protein,STM0383
bifunctional (p)ppGpp synthase/hydrolase SpoT,b3650,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",STM3742
"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase",b3833,ubiquinone/menaquinone biosynthesis C-methyltransferase,STM3970
bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,b2232,2-octaprenyl-6-hydroxy phenol methylase,STM2276
bifunctional AICAR transformylase/IMP cyclohydrolase,b4006,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,STM4176
bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,b2315,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,STM2365
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,b2103,DJ-1 family protein,STM1931
bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase,b0529,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,STM0542
bifunctional riboflavin kinase / FMN adenylyltransferase,b0025,riboflavin biosynthesis protein,STM0045
biofilm-dependent modulation protein,b1481,biofilm-dependent modulation protein,STM1564
biosynthetic arginine decarboxylase,b2938,arginine decarboxylase,STM3086
biotin carboxyl carrier protein,b3255,a [biotin carboxyl-carrier protein] monomer,
biotin carboxylase,b3256,acetyl-CoA carboxylase biotin carboxylase subunit,STM3380
biotin sulfoxide reductase,b3551,biotin sulfoxide reductase,STM3644
biotin synthase,b0775,biotin synthase,STM0794
biotin transporter,b3827,EamA family transporter,STM3955
BOF family protein YdeI,b1536,TIGR00156 family protein,STM1515
BOF family protein YgiW,b3024,TIGR00156 family protein,STM1515
branched chain amino acid transporter BrnQ,b0401,branched-chain amino acid transport system II carrier protein,STM0399
branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF,b3454,,
branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG,b3455,,
branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,b3457,,
branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM,b3456,,
branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein,b3460,,
branched-chain-amino-acid aminotransferase,b3770,branched chain amino acid aminotransferase,STM3903
broad specificity 5'(3')-nucleotidase and polyphosphatase,b2744,5'/3'-nucleotidase,STM2927
c-di-GMP phosphodiesterase PdeK,b3529,putative diguanylate cyclase/phosphodiesterase,PSLT032
c-di-GMP-binding biofilm dispersal mediator protein,b4249,,
c-di-GMP-binding protein BcsE,b3536,Cyclic di-GMP binding protein,STM3622
C4 dicarboxylate/orotate:H<sup>+</sup> symporter,b3528,C4-dicarboxylate transporter,STM3614
C4-dicarboxylate transporter DcuA,b4138,C4-dicarboxylate transporter,STM3614
cAMP phosphodiesterase,b3032,"3',5'-cyclic-AMP phosphodiesterase",STM3183
capsule biosynthesis GfcC family protein YjbG,b4028,putative periplasmic protein,STM1897
carbamoyl dehydratase HypE,b2730,putative hydrogenase expression/formation protein,STM2858
carbamoyl--[HypE] ligase,b2712,hydrogenase-5 small subunit,STM1539
carbamoyl-phosphate synthetase large subunit,b0033,carbamoyl phosphate synthase large subunit,STM0067
carbamoyl-phosphate synthetase small subunit,b0032,carbamoyl phosphate synthase small subunit,STM0066
carbon storage regulator,b2696,carbon storage regulator,STM2826
carbonic anhydrase 2,b0126,carbonate dehydratase,STM0171
carboxy-<i>S</i>-adenosyl-L-methionine synthase,b1870,carboxy-S-adenosyl-L-methionine synthase,STM1905
carboxylesterase,b4190,esterase,STM4380
cardiolipin synthase A,b1249,cardiolipin synthase,STM1739
cardiolipin synthase B,b0789,cardiolipin synthase B,STM0812
cardiolipin synthase C,b1046,cardiolipin synthase C,STM1148
carnitine&mdash;CoA ligase,b0037,crotonobetaine/carnitine-CoA ligase,STM0071
catabolic threonine dehydratase,b3117,threonine ammonia-lyase,STM3244
catalase HPII,b1732,catalase HPII,STM1318
catalase/hydroperoxidase HPI,b3942,catalase/peroxidase HPI,STM4106
CDP-diacylglycerol diphosphatase,b3918,CDP-diacylglycerol diphosphatase,STM4064
CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase,b1912,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,STM1945
CDP-diglyceride synthetase,b0175,phosphatidate cytidylyltransferase,STM0222
cell division coordinator CpoB,b0742,cell division protein,STM0994
cell division DNA translocase FtsK,b0890,DNA translocase,STM0960
cell division factor ZapB,b3928,septal ring assembly protein,STM4088
cell division factor ZapD,b0102,cell division protein,STM0994
cell division inhibitor SulA,b0958,cell division inhibitor,STM1071
cell division modulator,b1731,cell division modulator,STM1319
cell division protein DamX,b3388,cell division protein,STM0994
cell division protein DedD,b2314,cell division protein,STM0994
